Unnamed: 0,Question,Answer,processed_description
1482,"What is the technique id for technique, Hide Artifacts: NTFS File Attributes according to mitre attack framework?",The technique id of the technique Hide Artifacts: NTFS File Attributes is T1564.004,the technique id of the technique hide artifacts ntfs file attributes is t
1483,"What are the tactics does this technique, Hide Artifacts: NTFS File Attributes belongs to?",The technique Hide Artifacts: NTFS File Attributes belongs to these tactics Defense Evasion,the technique hide artifacts ntfs file attributes belongs to these tactics defense evasion
1484,"What is the description of technique, Hide Artifacts: Process Argument Spoofing according to Mitre Attack framework?","Adversaries may attempt to hide process command-line arguments by overwriting process memory. Process command-line arguments are stored in the process environment block (PEB), a data structure used by Windows to store various information about/used by a process. The PEB includes the process command-line arguments that are referenced when executing the process. When a process is created, defensive tools/sensors that monitor process creations may retrieve the process arguments from the PEB.(Citation: Microsoft PEB 2021)(Citation: Xpn Argue Like Cobalt 2019)

Adversaries may manipulate a process PEB to evade defenses. For example, [Process Hollowing](https://attack.mitre.org/techniques/T1055/012) can be abused to spawn a process in a suspended state with benign arguments. After the process is spawned and the PEB is initialized (and process information is potentially logged by tools/sensors), adversaries may override the PEB to modify the command-line arguments (ex: using the [Native API](https://attack.mitre.org/techniques/T1106) <code>WriteProcessMemory()</code> function) then resume process execution with malicious arguments.(Citation: Cobalt Strike Arguments 2019)(Citation: Xpn Argue Like Cobalt 2019)(Citation: Nviso Spoof Command Line 2020)

Adversaries may also execute a process with malicious command-line arguments then patch the memory with benign arguments that may bypass subsequent process memory analysis.(Citation: FireEye FiveHands April 2021)

This behavior may also be combined with other tricks (such as [Parent PID Spoofing](https://attack.mitre.org/techniques/T1134/004)) to manipulate or further evade process-based detections.","adversaries may attempt to hide process commandline arguments by overwriting process memory process commandline arguments are stored in the process environment block peb a data structure used by windows to store various information aboutused by a process the peb includes the process commandline arguments that are referenced when executing the process when a process is created defensive toolssensors that monitor process creations may retrieve the process arguments from the pebcitation microsoft peb citation xpn argue like cobalt 

adversaries may manipulate a process peb to evade defenses for example process hollowinghttpsattackmitreorgtechniquest can be abused to spawn a process in a suspended state with benign arguments after the process is spawned and the peb is initialized and process information is potentially logged by toolssensors adversaries may override the peb to modify the commandline arguments ex using the native apihttpsattackmitreorgtechniquest codewriteprocessmemorycode function then resume process execution with malicious argumentscitation cobalt strike arguments citation xpn argue like cobalt citation nviso spoof command line 

adversaries may also execute a process with malicious commandline arguments then patch the memory with benign arguments that may bypass subsequent process memory analysiscitation fireeye fivehands april 

this behavior may also be combined with other tricks such as parent pid spoofinghttpsattackmitreorgtechniquest to manipulate or further evade processbased detections"
1485,"Which platforms does technique, Hide Artifacts: Process Argument Spoofing primarily target according to Mitre Attack framework?",The technique Hide Artifacts: Process Argument Spoofing targets or exploits these platforms Windows,the technique hide artifacts process argument spoofing targets or exploits these platforms windows
1486,"How to detect or prevent technique, Hide Artifacts: Process Argument Spoofing from being exploited?","Detection of process argument spoofing may be difficult as adversaries may momentarily modify stored arguments used for malicious execution. These changes may bypass process creation detection and/or later process memory analysis. Consider monitoring for [Process Hollowing](https://attack.mitre.org/techniques/T1055/012), which includes monitoring for process creation (especially those in a suspended state) as well as access and/or modifications of these processes (especially by the parent process) via Windows API calls.(Citation: Nviso Spoof Command Line 2020)(Citation: Mandiant Endpoint Evading 2019)

Analyze process behavior to determine if a process is performing actions it usually does not and/or do no align with its logged command-line arguments.","detection of process argument spoofing may be difficult as adversaries may momentarily modify stored arguments used for malicious execution these changes may bypass process creation detection andor later process memory analysis consider monitoring for process hollowinghttpsattackmitreorgtechniquest which includes monitoring for process creation especially those in a suspended state as well as access andor modifications of these processes especially by the parent process via windows api callscitation nviso spoof command line citation mandiant endpoint evading 

analyze process behavior to determine if a process is performing actions it usually does not andor do no align with its logged commandline arguments"
1487,"What is the technique id for technique, Hide Artifacts: Process Argument Spoofing according to mitre attack framework?",The technique id of the technique Hide Artifacts: Process Argument Spoofing is T1564.010,the technique id of the technique hide artifacts process argument spoofing is t
1488,"What are the tactics does this technique, Hide Artifacts: Process Argument Spoofing belongs to?",The technique Hide Artifacts: Process Argument Spoofing belongs to these tactics Defense Evasion,the technique hide artifacts process argument spoofing belongs to these tactics defense evasion
1489,"What is the description of technique, Hide Artifacts: Resource Forking according to Mitre Attack framework?","Adversaries may abuse resource forks to hide malicious code or executables to evade detection and bypass security applications. A resource fork provides applications a structured way to store resources such as thumbnail images, menu definitions, icons, dialog boxes, and code.(Citation: macOS Hierarchical File System Overview) Usage of a resource fork is identifiable when displaying a file’s extended attributes, using <code>ls -l@</code> or <code>xattr -l</code> commands. Resource forks have been deprecated and replaced with the application bundle structure. Non-localized resources are placed at the top level directory of an application bundle, while localized resources are placed in the <code>/Resources</code> folder.(Citation: Resource and Data Forks)(Citation: ELC Extended Attributes)

Adversaries can use resource forks to hide malicious data that may otherwise be stored directly in files. Adversaries can execute content with an attached resource fork, at a specified offset, that is moved to an executable location then invoked. Resource fork content may also be obfuscated/encrypted until execution.(Citation: sentinellabs resource named fork 2020)(Citation: tau bundlore erika noerenberg 2020)","adversaries may abuse resource forks to hide malicious code or executables to evade detection and bypass security applications a resource fork provides applications a structured way to store resources such as thumbnail images menu definitions icons dialog boxes and codecitation macos hierarchical file system overview usage of a resource fork is identifiable when displaying a files extended attributes using codels lcode or codexattr lcode commands resource forks have been deprecated and replaced with the application bundle structure nonlocalized resources are placed at the top level directory of an application bundle while localized resources are placed in the coderesourcescode foldercitation resource and data forkscitation elc extended attributes

adversaries can use resource forks to hide malicious data that may otherwise be stored directly in files adversaries can execute content with an attached resource fork at a specified offset that is moved to an executable location then invoked resource fork content may also be obfuscatedencrypted until executioncitation sentinellabs resource named fork citation tau bundlore erika noerenberg "
1490,"Which platforms does technique, Hide Artifacts: Resource Forking primarily target according to Mitre Attack framework?",The technique Hide Artifacts: Resource Forking targets or exploits these platforms macOS,the technique hide artifacts resource forking targets or exploits these platforms macos
1491,"How to detect or prevent technique, Hide Artifacts: Resource Forking from being exploited?","Identify files with the <code>com.apple.ResourceFork</code> extended attribute and large data amounts stored in resource forks. 

Monitor command-line activity leveraging the use of resource forks, especially those immediately followed by potentially malicious activity such as creating network connections. ","identify files with the codecomappleresourceforkcode extended attribute and large data amounts stored in resource forks 

monitor commandline activity leveraging the use of resource forks especially those immediately followed by potentially malicious activity such as creating network connections "
1492,"What is the technique id for technique, Hide Artifacts: Resource Forking according to mitre attack framework?",The technique id of the technique Hide Artifacts: Resource Forking is T1564.009,the technique id of the technique hide artifacts resource forking is t
1493,"What are the tactics does this technique, Hide Artifacts: Resource Forking belongs to?",The technique Hide Artifacts: Resource Forking belongs to these tactics Defense Evasion,the technique hide artifacts resource forking belongs to these tactics defense evasion
1494,"What is the description of technique, Hide Artifacts: Run Virtual Instance according to Mitre Attack framework?","Adversaries may carry out malicious operations using a virtual instance to avoid detection. A wide variety of virtualization technologies exist that allow for the emulation of a computer or computing environment. By running malicious code inside of a virtual instance, adversaries can hide artifacts associated with their behavior from security tools that are unable to monitor activity inside the virtual instance. Additionally, depending on the virtual networking implementation (ex: bridged adapter), network traffic generated by the virtual instance can be difficult to trace back to the compromised host as the IP address and hostname might not match known values.(Citation: SingHealth Breach Jan 2019)

Adversaries may utilize native support for virtualization (ex: Hyper-V) or drop the necessary files to run a virtual instance (ex: VirtualBox binaries). After running a virtual instance, adversaries may create a shared folder between the guest and host with permissions that enable the virtual instance to interact with the host file system.(Citation: Sophos Ragnar May 2020)","adversaries may carry out malicious operations using a virtual instance to avoid detection a wide variety of virtualization technologies exist that allow for the emulation of a computer or computing environment by running malicious code inside of a virtual instance adversaries can hide artifacts associated with their behavior from security tools that are unable to monitor activity inside the virtual instance additionally depending on the virtual networking implementation ex bridged adapter network traffic generated by the virtual instance can be difficult to trace back to the compromised host as the ip address and hostname might not match known valuescitation singhealth breach jan 

adversaries may utilize native support for virtualization ex hyperv or drop the necessary files to run a virtual instance ex virtualbox binaries after running a virtual instance adversaries may create a shared folder between the guest and host with permissions that enable the virtual instance to interact with the host file systemcitation sophos ragnar may "
1495,"Which platforms does technique, Hide Artifacts: Run Virtual Instance primarily target according to Mitre Attack framework?","The technique Hide Artifacts: Run Virtual Instance targets or exploits these platforms Linux, Windows, macOS",the technique hide artifacts run virtual instance targets or exploits these platforms linux windows macos
1496,"How to detect or prevent technique, Hide Artifacts: Run Virtual Instance from being exploited?","Consider monitoring for files and processes associated with running a virtual instance, such as binary files associated with common virtualization technologies (ex: VirtualBox, VMware, QEMU, Hyper-V). Consider monitoring the size of virtual machines running on the system. Adversaries may create virtual images which are smaller than those of typical virtual machines.(Citation: Shadowbunny VM Defense Evasion) Network adapter information may also be helpful in detecting the use of virtual instances.

Consider monitoring for process command-line arguments that may be atypical for benign use of virtualization software. Usage of virtualization binaries or command-line arguments associated with running a silent installation may be especially suspect (ex. <code>-silent</code>, <code>-ignore-reboot</code>), as well as those associated with running a headless (in the background with no UI) virtual instance (ex. <code>VBoxManage startvm $VM --type headless</code>).(Citation: Shadowbunny VM Defense Evasion) Similarly, monitoring command line arguments which suppress notifications may highlight potentially malicious activity (ex. <code>VBoxManage.exe setextradata global GUI/SuppressMessages ""all""</code>).

Monitor for commands which enable hypervisors such as Hyper-V.  If virtualization software is installed by the adversary, the Registry may provide detection opportunities. Consider monitoring for [Windows Service](https://attack.mitre.org/techniques/T1543/003), with respect to virtualization software. 

Benign usage of virtualization technology is common in enterprise environments, data and events should not be viewed in isolation, but as part of a chain of behavior.","consider monitoring for files and processes associated with running a virtual instance such as binary files associated with common virtualization technologies ex virtualbox vmware qemu hyperv consider monitoring the size of virtual machines running on the system adversaries may create virtual images which are smaller than those of typical virtual machinescitation shadowbunny vm defense evasion network adapter information may also be helpful in detecting the use of virtual instances

consider monitoring for process commandline arguments that may be atypical for benign use of virtualization software usage of virtualization binaries or commandline arguments associated with running a silent installation may be especially suspect ex codesilentcode codeignorerebootcode as well as those associated with running a headless in the background with no ui virtual instance ex codevboxmanage startvm vm type headlesscodecitation shadowbunny vm defense evasion similarly monitoring command line arguments which suppress notifications may highlight potentially malicious activity ex codevboxmanageexe setextradata global guisuppressmessages allcode

monitor for commands which enable hypervisors such as hyperv  if virtualization software is installed by the adversary the registry may provide detection opportunities consider monitoring for windows servicehttpsattackmitreorgtechniquest with respect to virtualization software 

benign usage of virtualization technology is common in enterprise environments data and events should not be viewed in isolation but as part of a chain of behavior"
1497,"What is the technique id for technique, Hide Artifacts: Run Virtual Instance according to mitre attack framework?",The technique id of the technique Hide Artifacts: Run Virtual Instance is T1564.006,the technique id of the technique hide artifacts run virtual instance is t
1498,"What are the tactics does this technique, Hide Artifacts: Run Virtual Instance belongs to?",The technique Hide Artifacts: Run Virtual Instance belongs to these tactics Defense Evasion,the technique hide artifacts run virtual instance belongs to these tactics defense evasion
1499,"What is the description of technique, Hide Artifacts: VBA Stomping according to Mitre Attack framework?","Adversaries may hide malicious Visual Basic for Applications (VBA) payloads embedded within MS Office documents by replacing the VBA source code with benign data.(Citation: FireEye VBA stomp Feb 2020)

MS Office documents with embedded VBA content store source code inside of module streams. Each module stream has a <code>PerformanceCache</code> that stores a separate compiled version of the VBA source code known as p-code. The p-code is executed when the MS Office version specified in the <code>_VBA_PROJECT</code> stream (which contains the version-dependent description of the VBA project) matches the version of the host MS Office application.(Citation: Evil Clippy May 2019)(Citation: Microsoft _VBA_PROJECT Stream)

An adversary may hide malicious VBA code by overwriting the VBA source code location with zero’s, benign code, or random bytes while leaving the previously compiled malicious p-code. Tools that scan for malicious VBA source code may be bypassed as the unwanted code is hidden in the compiled p-code. If the VBA source code is removed, some tools might even think that there are no macros present. If there is a version match between the <code>_VBA_PROJECT</code> stream and host MS Office application, the p-code will be executed, otherwise the benign VBA source code will be decompressed and recompiled to p-code, thus removing malicious p-code and potentially bypassing dynamic analysis.(Citation: Walmart Roberts Oct 2018)(Citation: FireEye VBA stomp Feb 2020)(Citation: pcodedmp Bontchev)","adversaries may hide malicious visual basic for applications vba payloads embedded within ms office documents by replacing the vba source code with benign datacitation fireeye vba stomp feb 

ms office documents with embedded vba content store source code inside of module streams each module stream has a codeperformancecachecode that stores a separate compiled version of the vba source code known as pcode the pcode is executed when the ms office version specified in the codevbaprojectcode stream which contains the versiondependent description of the vba project matches the version of the host ms office applicationcitation evil clippy may citation microsoft vbaproject stream

an adversary may hide malicious vba code by overwriting the vba source code location with zeros benign code or random bytes while leaving the previously compiled malicious pcode tools that scan for malicious vba source code may be bypassed as the unwanted code is hidden in the compiled pcode if the vba source code is removed some tools might even think that there are no macros present if there is a version match between the codevbaprojectcode stream and host ms office application the pcode will be executed otherwise the benign vba source code will be decompressed and recompiled to pcode thus removing malicious pcode and potentially bypassing dynamic analysiscitation walmart roberts oct citation fireeye vba stomp feb citation pcodedmp bontchev"
1500,"Which platforms does technique, Hide Artifacts: VBA Stomping primarily target according to Mitre Attack framework?","The technique Hide Artifacts: VBA Stomping targets or exploits these platforms Linux, Windows, macOS",the technique hide artifacts vba stomping targets or exploits these platforms linux windows macos
1501,"How to detect or prevent technique, Hide Artifacts: VBA Stomping from being exploited?","Detection efforts should be placed finding differences between VBA source code and p-code.(Citation: Walmart Roberts Oct 2018) VBA code can be extracted from p-code before execution with tools such as the pcodedmp disassembler. The oletools toolkit leverages the pcodedmp disassembler to detect VBA stomping by comparing keywords present in the VBA source code and p-code.(Citation: pcodedmp Bontchev)(Citation: oletools toolkit)

If the document is opened with a Graphical User Interface (GUI) the malicious p-code is decompiled and may be viewed. However, if the <code>PROJECT</code> stream, which specifies the project properties, is modified in a specific way the decompiled VBA code will not be displayed. For example, adding a module name that is undefined to the <code>PROJECT</code> stream will inhibit attempts of reading the VBA source code through the GUI.(Citation: FireEye VBA stomp Feb 2020)","detection efforts should be placed finding differences between vba source code and pcodecitation walmart roberts oct  vba code can be extracted from pcode before execution with tools such as the pcodedmp disassembler the oletools toolkit leverages the pcodedmp disassembler to detect vba stomping by comparing keywords present in the vba source code and pcodecitation pcodedmp bontchevcitation oletools toolkit

if the document is opened with a graphical user interface gui the malicious pcode is decompiled and may be viewed however if the codeprojectcode stream which specifies the project properties is modified in a specific way the decompiled vba code will not be displayed for example adding a module name that is undefined to the codeprojectcode stream will inhibit attempts of reading the vba source code through the guicitation fireeye vba stomp feb "
1502,"What is the technique id for technique, Hide Artifacts: VBA Stomping according to mitre attack framework?",The technique id of the technique Hide Artifacts: VBA Stomping is T1564.007,the technique id of the technique hide artifacts vba stomping is t
1503,"What are the tactics does this technique, Hide Artifacts: VBA Stomping belongs to?",The technique Hide Artifacts: VBA Stomping belongs to these tactics Defense Evasion,the technique hide artifacts vba stomping belongs to these tactics defense evasion
1504,"What is the description of technique, Hide Infrastructure according to Mitre Attack framework?","Adversaries may manipulate network traffic in order to hide and evade detection of their C2 infrastructure. This can be accomplished in various ways including by identifying and filtering traffic from defensive tools,(Citation: TA571) masking malicious domains to obfuscate the true destination from both automated scanning tools and security researchers,(Citation: Schema-abuse)(Citation: Facad1ng)(Citation: Browser-updates) and otherwise hiding malicious artifacts to delay discovery and prolong the effectiveness of adversary infrastructure that could otherwise be identified, blocked, or taken down entirely.

C2 networks may include the use of [Proxy](https://attack.mitre.org/techniques/T1090) or VPNs to disguise IP addresses, which can allow adversaries to blend in with normal network traffic and bypass conditional access policies or anti-abuse protections. For example, an adversary may use a virtual private cloud to spoof their IP address to closer align with a victim's IP address ranges. This may also bypass security measures relying on geolocation of the source IP address.(Citation: sysdig)(Citation: Orange Residential Proxies)

Adversaries may also attempt to filter network traffic in order to evade defensive tools in numerous ways, including blocking/redirecting common incident responder or security appliance user agents.(Citation: mod_rewrite)(Citation: SocGholish-update) Filtering traffic based on IP and geo-fencing may also avoid automated sandboxing or researcher activity (i.e., [Virtualization/Sandbox Evasion](https://attack.mitre.org/techniques/T1497)).(Citation: TA571)(Citation: mod_rewrite)

Hiding C2 infrastructure may also be supported by [Resource Development](https://attack.mitre.org/tactics/TA0042) activities such as [Acquire Infrastructure](https://attack.mitre.org/techniques/T1583) and [Compromise Infrastructure](https://attack.mitre.org/techniques/T1584). For example, using widely trusted hosting services or domains such as prominent URL shortening providers or marketing services for C2 networks may enable adversaries to present benign content that later redirects victims to malicious web pages or infrastructure once specific conditions are met.(Citation: StarBlizzard)(Citation: QR-cofense)","adversaries may manipulate network traffic in order to hide and evade detection of their c infrastructure this can be accomplished in various ways including by identifying and filtering traffic from defensive toolscitation ta masking malicious domains to obfuscate the true destination from both automated scanning tools and security researcherscitation schemaabusecitation facadngcitation browserupdates and otherwise hiding malicious artifacts to delay discovery and prolong the effectiveness of adversary infrastructure that could otherwise be identified blocked or taken down entirely

c networks may include the use of proxyhttpsattackmitreorgtechniquest or vpns to disguise ip addresses which can allow adversaries to blend in with normal network traffic and bypass conditional access policies or antiabuse protections for example an adversary may use a virtual private cloud to spoof their ip address to closer align with a victims ip address ranges this may also bypass security measures relying on geolocation of the source ip addresscitation sysdigcitation orange residential proxies

adversaries may also attempt to filter network traffic in order to evade defensive tools in numerous ways including blockingredirecting common incident responder or security appliance user agentscitation modrewritecitation socgholishupdate filtering traffic based on ip and geofencing may also avoid automated sandboxing or researcher activity ie virtualizationsandbox evasionhttpsattackmitreorgtechniquestcitation tacitation modrewrite

hiding c infrastructure may also be supported by resource developmenthttpsattackmitreorgtacticsta activities such as acquire infrastructurehttpsattackmitreorgtechniquest and compromise infrastructurehttpsattackmitreorgtechniquest for example using widely trusted hosting services or domains such as prominent url shortening providers or marketing services for c networks may enable adversaries to present benign content that later redirects victims to malicious web pages or infrastructure once specific conditions are metcitation starblizzardcitation qrcofense"
1505,"Which platforms does technique, Hide Infrastructure primarily target according to Mitre Attack framework?","The technique Hide Infrastructure targets or exploits these platforms Linux, Network, Windows, macOS",the technique hide infrastructure targets or exploits these platforms linux network windows macos
1506,"How to detect or prevent technique, Hide Infrastructure from being exploited?",,nan
1507,"What is the technique id for technique, Hide Infrastructure according to mitre attack framework?",The technique id of the technique Hide Infrastructure is T1665,the technique id of the technique hide infrastructure is t
1508,"What are the tactics does this technique, Hide Infrastructure belongs to?",The technique Hide Infrastructure belongs to these tactics Command and Control,the technique hide infrastructure belongs to these tactics command and control
1509,"What is the description of technique, Hijack Execution Flow according to Mitre Attack framework?","Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs. Hijacking execution flow can be for the purposes of persistence, since this hijacked execution may reoccur over time. Adversaries may also use these mechanisms to elevate privileges or evade defenses, such as application control or other restrictions on execution.

There are many ways an adversary may hijack the flow of execution, including by manipulating how the operating system locates programs to be executed. How the operating system locates libraries to be used by a program can also be intercepted. Locations where the operating system looks for programs/resources, such as file directories and in the case of Windows the Registry, could also be poisoned to include malicious payloads.","adversaries may execute their own malicious payloads by hijacking the way operating systems run programs hijacking execution flow can be for the purposes of persistence since this hijacked execution may reoccur over time adversaries may also use these mechanisms to elevate privileges or evade defenses such as application control or other restrictions on execution

there are many ways an adversary may hijack the flow of execution including by manipulating how the operating system locates programs to be executed how the operating system locates libraries to be used by a program can also be intercepted locations where the operating system looks for programsresources such as file directories and in the case of windows the registry could also be poisoned to include malicious payloads"
1510,"Which platforms does technique, Hijack Execution Flow primarily target according to Mitre Attack framework?","The technique Hijack Execution Flow targets or exploits these platforms Linux, Windows, macOS",the technique hijack execution flow targets or exploits these platforms linux windows macos
1511,"How to detect or prevent technique, Hijack Execution Flow from being exploited?","Monitor file systems for moving, renaming, replacing, or modifying DLLs. Changes in the set of DLLs that are loaded by a process (compared with past behavior) that do not correlate with known software, patches, etc., are suspicious. Monitor DLLs loaded into a process and detect DLLs that have the same file name but abnormal paths. Modifications to or creation of .manifest and .local redirection files that do not correlate with software updates are suspicious.

Look for changes to binaries and service executables that may normally occur during software updates. If an executable is written, renamed, and/or moved to match an existing service executable, it could be detected and correlated with other suspicious behavior. Hashing of binaries and service executables could be used to detect replacement against historical data.

Monitor for changes to environment variables, as well as the commands to implement these changes.

Monitor processes for unusual activity (e.g., a process that does not use the network begins to do so, abnormal process call trees). Track library metadata, such as a hash, and compare libraries that are loaded at process execution time against previous executions to detect differences that do not correlate with patching or updates.

Service changes are reflected in the Registry. Modification to existing services should not occur frequently. If a service binary path or failure parameters are changed to values that are not typical for that service and does not correlate with software updates, then it may be due to malicious activity. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as network connections made for Command and Control, learning details about the environment through Discovery, and Lateral Movement.

Tools such as Sysinternals Autoruns may also be used to detect system changes that could be attempts at persistence, including listing current service information. (Citation: Autoruns for Windows) Suspicious program execution through services may show up as outlier processes that have not been seen before when compared against historical data.","monitor file systems for moving renaming replacing or modifying dlls changes in the set of dlls that are loaded by a process compared with past behavior that do not correlate with known software patches etc are suspicious monitor dlls loaded into a process and detect dlls that have the same file name but abnormal paths modifications to or creation of manifest and local redirection files that do not correlate with software updates are suspicious

look for changes to binaries and service executables that may normally occur during software updates if an executable is written renamed andor moved to match an existing service executable it could be detected and correlated with other suspicious behavior hashing of binaries and service executables could be used to detect replacement against historical data

monitor for changes to environment variables as well as the commands to implement these changes

monitor processes for unusual activity eg a process that does not use the network begins to do so abnormal process call trees track library metadata such as a hash and compare libraries that are loaded at process execution time against previous executions to detect differences that do not correlate with patching or updates

service changes are reflected in the registry modification to existing services should not occur frequently if a service binary path or failure parameters are changed to values that are not typical for that service and does not correlate with software updates then it may be due to malicious activity data and events should not be viewed in isolation but as part of a chain of behavior that could lead to other activities such as network connections made for command and control learning details about the environment through discovery and lateral movement

tools such as sysinternals autoruns may also be used to detect system changes that could be attempts at persistence including listing current service information citation autoruns for windows suspicious program execution through services may show up as outlier processes that have not been seen before when compared against historical data"
1512,"What is the technique id for technique, Hijack Execution Flow according to mitre attack framework?",The technique id of the technique Hijack Execution Flow is T1574,the technique id of the technique hijack execution flow is t
1513,"What are the tactics does this technique, Hijack Execution Flow belongs to?","The technique Hijack Execution Flow belongs to these tactics Defense Evasion, Persistence, Privilege Escalation",the technique hijack execution flow belongs to these tactics defense evasion persistence privilege escalation
1514,"What is the description of technique, Hijack Execution Flow: AppDomainManager according to Mitre Attack framework?","Adversaries may execute their own malicious payloads by hijacking how the .NET `AppDomainManager` loads assemblies. The .NET framework uses the `AppDomainManager` class to create and manage one or more isolated runtime environments (called application domains) inside a process to host the execution of .NET applications. Assemblies (`.exe` or `.dll` binaries compiled to run as .NET code) may be loaded into an application domain as executable code.(Citation: Microsoft App Domains) 

Known as ""AppDomainManager injection,"" adversaries may execute arbitrary code by hijacking how .NET applications load assemblies. For example, malware may create a custom application domain inside a target process to load and execute an arbitrary assembly. Alternatively, configuration files (`.config`) or process environment variables that define .NET runtime settings may be tampered with to instruct otherwise benign .NET applications to load a malicious assembly (identified by name) into the target process.(Citation: PenTestLabs AppDomainManagerInject)(Citation: PwC Yellow Liderc)(Citation: Rapid7 AppDomain Manager Injection)","adversaries may execute their own malicious payloads by hijacking how the net appdomainmanager loads assemblies the net framework uses the appdomainmanager class to create and manage one or more isolated runtime environments called application domains inside a process to host the execution of net applications assemblies exe or dll binaries compiled to run as net code may be loaded into an application domain as executable codecitation microsoft app domains 

known as appdomainmanager injection adversaries may execute arbitrary code by hijacking how net applications load assemblies for example malware may create a custom application domain inside a target process to load and execute an arbitrary assembly alternatively configuration files config or process environment variables that define net runtime settings may be tampered with to instruct otherwise benign net applications to load a malicious assembly identified by name into the target processcitation pentestlabs appdomainmanagerinjectcitation pwc yellow liderccitation rapid appdomain manager injection"
1515,"Which platforms does technique, Hijack Execution Flow: AppDomainManager primarily target according to Mitre Attack framework?",The technique Hijack Execution Flow: AppDomainManager targets or exploits these platforms Windows,the technique hijack execution flow appdomainmanager targets or exploits these platforms windows
1516,"How to detect or prevent technique, Hijack Execution Flow: AppDomainManager from being exploited?",,nan
1517,"What is the technique id for technique, Hijack Execution Flow: AppDomainManager according to mitre attack framework?",The technique id of the technique Hijack Execution Flow: AppDomainManager is T1574.014,the technique id of the technique hijack execution flow appdomainmanager is t
1518,"What are the tactics does this technique, Hijack Execution Flow: AppDomainManager belongs to?","The technique Hijack Execution Flow: AppDomainManager belongs to these tactics Defense Evasion, Persistence, Privilege Escalation",the technique hijack execution flow appdomainmanager belongs to these tactics defense evasion persistence privilege escalation
1519,"What is the description of technique, Hijack Execution Flow: COR_PROFILER according to Mitre Attack framework?","Adversaries may leverage the COR_PROFILER environment variable to hijack the execution flow of programs that load the .NET CLR. The COR_PROFILER is a .NET Framework feature which allows developers to specify an unmanaged (or external of .NET) profiling DLL to be loaded into each .NET process that loads the Common Language Runtime (CLR). These profilers are designed to monitor, troubleshoot, and debug managed code executed by the .NET CLR.(Citation: Microsoft Profiling Mar 2017)(Citation: Microsoft COR_PROFILER Feb 2013)

The COR_PROFILER environment variable can be set at various scopes (system, user, or process) resulting in different levels of influence. System and user-wide environment variable scopes are specified in the Registry, where a [Component Object Model](https://attack.mitre.org/techniques/T1559/001) (COM) object can be registered as a profiler DLL. A process scope COR_PROFILER can also be created in-memory without modifying the Registry. Starting with .NET Framework 4, the profiling DLL does not need to be registered as long as the location of the DLL is specified in the COR_PROFILER_PATH environment variable.(Citation: Microsoft COR_PROFILER Feb 2013)

Adversaries may abuse COR_PROFILER to establish persistence that executes a malicious DLL in the context of all .NET processes every time the CLR is invoked. The COR_PROFILER can also be used to elevate privileges (ex: [Bypass User Account Control](https://attack.mitre.org/techniques/T1548/002)) if the victim .NET process executes at a higher permission level, as well as to hook and [Impair Defenses](https://attack.mitre.org/techniques/T1562) provided by .NET processes.(Citation: RedCanary Mockingbird May 2020)(Citation: Red Canary COR_PROFILER May 2020)(Citation: Almond COR_PROFILER Apr 2019)(Citation: GitHub OmerYa Invisi-Shell)(Citation: subTee .NET Profilers May 2017)","adversaries may leverage the corprofiler environment variable to hijack the execution flow of programs that load the net clr the corprofiler is a net framework feature which allows developers to specify an unmanaged or external of net profiling dll to be loaded into each net process that loads the common language runtime clr these profilers are designed to monitor troubleshoot and debug managed code executed by the net clrcitation microsoft profiling mar citation microsoft corprofiler feb 

the corprofiler environment variable can be set at various scopes system user or process resulting in different levels of influence system and userwide environment variable scopes are specified in the registry where a component object modelhttpsattackmitreorgtechniquest com object can be registered as a profiler dll a process scope corprofiler can also be created inmemory without modifying the registry starting with net framework  the profiling dll does not need to be registered as long as the location of the dll is specified in the corprofilerpath environment variablecitation microsoft corprofiler feb 

adversaries may abuse corprofiler to establish persistence that executes a malicious dll in the context of all net processes every time the clr is invoked the corprofiler can also be used to elevate privileges ex bypass user account controlhttpsattackmitreorgtechniquest if the victim net process executes at a higher permission level as well as to hook and impair defenseshttpsattackmitreorgtechniquest provided by net processescitation redcanary mockingbird may citation red canary corprofiler may citation almond corprofiler apr citation github omerya invisishellcitation subtee net profilers may "
1520,"Which platforms does technique, Hijack Execution Flow: COR_PROFILER primarily target according to Mitre Attack framework?",The technique Hijack Execution Flow: COR_PROFILER targets or exploits these platforms Windows,the technique hijack execution flow corprofiler targets or exploits these platforms windows
